model,model_key,lambda,run_seed,epoch,lr,phase,loss,cls_loss,reg_loss,acc,tol1_acc,ang_mae_deg,fr,spikes_per_sample,synops_per_sample
FlatLIFSNN,flat_snn,0.0,275,1,0.001879422863405995,train,2.395965238571167,2.395965238571167,0.0,0.3885,0.761,13.024793176651,0.3125763863325119,2640.64525,214206.242
FlatLIFSNN,flat_snn,0.0,275,1,0.001879422863405995,val,1.334424409866333,1.334424409866333,0.0,0.8025,1.0,1.6488833904266358,0.40699856042861937,3438.32375,267474.34
FlatLIFSNN,flat_snn,0.0,275,2,0.0015500000000000002,train,1.273343246459961,1.273343246459961,0.0,0.763,0.983,3.059624834060669,0.40864353704452516,3452.2205,267470.693
FlatLIFSNN,flat_snn,0.0,275,2,0.0015500000000000002,val,0.8409495306015015,0.8409495306015015,0.0,0.98,1.0,1.3882705545425416,0.41898867845535276,3539.61625,275789.41
FlatLIFSNN,flat_snn,0.0,275,3,0.0011,train,0.9656389493942261,0.9656389493942261,0.0,0.8765,0.9905,2.441134910583496,0.41115439796447756,3473.43225,268367.21
FlatLIFSNN,flat_snn,0.0,275,3,0.0011,val,0.6574226331710815,0.6574226331710815,0.0,0.9875,1.0,1.409929814338684,0.42314661502838136,3574.7425,279406.05
FlatLIFSNN,flat_snn,0.0,275,4,0.0006500000000000003,train,0.80609357213974,0.80609357213974,0.0,0.925,0.99775,2.119408018112183,0.4139336359500885,3496.91125,270578.654
FlatLIFSNN,flat_snn,0.0,275,4,0.0006500000000000003,val,0.5664758515357972,0.5664758515357972,0.0,0.9975,1.0,1.508104124069214,0.4239143991470337,3581.22875,280088.86
FlatLIFSNN,flat_snn,0.0,275,5,0.0003205771365940052,train,0.7146125364303589,0.7146125364303589,0.0,0.96,0.999,1.8692984256744385,0.41424453997612,3499.53775,270878.644
FlatLIFSNN,flat_snn,0.0,275,5,0.0003205771365940052,val,0.531828408241272,0.531828408241272,0.0,1.0,1.0,1.544501314163208,0.424258269071579,3584.13375,280601.69
FlatLIFSNN,flat_snn,0.0,275,6,0.0002,train,0.6653194904327393,0.6653194904327393,0.0,0.97875,1.0,1.79327392578125,0.41496183681488036,3505.5975,271539.66
